web-scraper-order,web-scraper-start-url,months,months-href,title,date,venue
"1530567168-68","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","MOJO Market Oyster & Bubbly Experience","","Venue: MOJO Market"
"1530567161-32","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","The Third Force","2 to 6 October 2018","Venue: Artscape"
"1530567153-17","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","Baroque Christmas @ La Motte Wine Estate","8 December 2018","Venue: La Motte Wine Estate"
"1530567168-72","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Cape Homemakers Expo","30 August 2018 to 2 September 2018","Venue: CTICC"
"1530567163-60","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","The Sanlam Cape Marathon","22 to 23 September 2018","Sanlam Cape Marathon"
"1530567168-91","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Solo Studios in Riebeek Valley","9 to 12 August 2018","Venue: Riebeek Valley"
"1530567163-56","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","SA Innovation Summit 2018","12 to 14 September 2018","Venue: Cape Town Stadium"
"1530567161-31","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Nic Bothma @ Chavonnes Battery Museum","2 March 2018 to 30 November 2018","Venue: Chavonnes Battery Museum"
"1530567163-43","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Baardskeerdersbos Art Route","7 to 21 September 2018","Venue: Baardskeerdersbos"
"1530567150-10","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","January 2019","https://www.whatsonincapetown.com/category/2019/events-in-january-2019/","Aunty Merle, The Musical","3 December 2018 to 5 January 2019","Venue: Baxter Theatre"
"1530567159-24","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","David Bester and Jose Dias @ La Motte Wine Estate","10 November 2018","Venue: La Motte Wine Estate"
"1530567163-44","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Bot River Spring Weekend 2018","1 to 2 September 2018","Venue: Various"
"1530567168-78","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","‘Both, and’ at Stevenson Gallery","5 July 2018 to 22 August 2018","Venue: Stevenson Gallery"
"1530567163-51","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Street Food Festival 2018","1 to 2 September 2018","Venue: Side Street Studios"
"1530567153-19","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","Matilda – The Musical","9 December 2018 to 13 January 2019","Venue: Artscape"
"1530567168-95","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Shakespeare in Love","14 to 31 August 2018","Venue: Fugard Theatre"
"1530567161-39","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","‘Elements of Life’ psytrance festival","26 to 28 October 2018","Venue: De Hoek Mountain Resort"
