web-scraper-order,web-scraper-start-url,Month,Month-href,title,date,venue,more,more-href,info,pricing
"1530737098-51","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Soul Fest: TLC, Dru Hill & SWV","4 September 2018","Venue: GrandWest Casino and Entertainment World","null","","",""
"1530737100-91","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Interacting Binary Stars","11 August 2018","Venue: SAAO","null","","",""
"1530737098-70","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Jimmy Carr – Best of, Ultimate, Gold, Greatest Hits","29 September 2018","Venue: Grand Arena, Grand West","null","","",""
"1530737100-85","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Nic Bothma @ Chavonnes Battery Museum","2 March 2018 to 30 November 2018","Venue: Chavonnes Battery Museum","null","","",""
"1530737098-65","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Avataar @ Olympia Bakery","23 September 2018","Venue: Olympia Bakery","null","","",""
"1530737098-67","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Stellenbosch University Choir","23 September 2018","Venue: Stellenbosch University","null","","",""
"1530737098-68","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Absolut Movie Nights","27 September 2018","Venue: Shimmy Beach Club","null","","",""
"1530737100-98","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Around The Fire","7 to 11 August 2018","Venue: Artscape","null","","",""
"1530737089-15","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","David Kramer’s ‘Langarm’","20 November 2018 to 6 January 2019","Venue: Fugard Theatre","null","","",""
"1530737098-49","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Maria Stuarda","26 to 29 September 2018","Venue: Artscape","null","","",""
"1530737095-37","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Big 5 Comedy Show","13 October 2018","Venue: GrandWest Casino and Entertainment World","null","","",""
"1530737074-7","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","February 2019","https://www.whatsonincapetown.com/category/2019/events-in-february-2019/","The Cape Town Coffee Festival","2 to 3 February 2019","Venue: CT City Hall","More","https://www.whatsonincapetown.com/post/cape-town-coffee-festival/","","Proceeds from the event are dedicated to Project Waterfall, a not-for-profit organisation that works to provide clean drinking water to coffee-growing communities."
"1530737100-90","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Jive Cape Town Funny Festival","10 July 2018 to 6 August 2018","Venue: Baxter Theatre","null","","",""
"1530737100-88","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Winter Symphony Season: Alessandro Taverna","4 August 2018","Venue: CT City Hall","null","","",""
"1530737100-95","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Robertson Slow Food & Wine Festival","3 to 5 August 2018","Venue: Robertson Wine Valley","null","","",""
"1530737098-46","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Bot River Spring Weekend 2018","1 to 2 September 2018","Venue: Various","null","","",""
"1530737080-11","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","January 2019","https://www.whatsonincapetown.com/category/2019/events-in-january-2019/","Matilda – The Musical","9 December 2018 to 13 January 2019","Venue: Artscape","null","","",""
"1530737080-9","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","January 2019","https://www.whatsonincapetown.com/category/2019/events-in-january-2019/","David Kramer’s ‘Langarm’","20 November 2018 to 6 January 2019","Venue: Fugard Theatre","null","","",""
"1530737080-12","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","January 2019","https://www.whatsonincapetown.com/category/2019/events-in-january-2019/","The Michael Jackson History Show","17 January 2019 to 9 February 2018","Venue: Artscape Theatre","null","","",""
"1530737091-23","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","November 2018","https://www.whatsonincapetown.com/category/2018/events-in-november-2018/","The Tree of Life","2 to 3 November 2018","Venue: Artscape Theatre Centre","null","","",""
"1530737098-44","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","SNIP/TUCKED – A Mini Medical Musical","","Venue: Gate69","null","","",""
"1530737100-96","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Women’s Walk","4 August 2018","Venue: The Company’s Garden","null","","",""
"1530737062-4","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","March 2019","https://www.whatsonincapetown.com/category/2019/events-in-march-2019/","Cape Town International Jazz Festival 2019","29 to 30 March 2019","Venue: CTICC","More","https://www.whatsonincapetown.com/post/cape-town-international-jazz-festival/","Referred to as ‘Africa’s Grandest Gathering’, the International Jazz Festival is the largest music event in sub-Saharan Africa.","Venue: Cape Town International Convention Centre (CTICC), Convention Square, 1 Lower Long St, Cape Town
 Time: tbc
 Cost: tbc"
"1530737098-58","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Open Book Festival","5 to 9 September 2018","Venue: Fugard Theatre","null","","",""
